date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:18	177182/177182	---MC-	200	added ('OK')	text/html	date:Sat,%2022%20Nov%202025%2007:16:16%20GMT	https://twrolecgeditor.gamelet.online/play	D:/code/copywebsite/twrolecgeditor/twrolecgeditor.gamelet.online/play.html	(from )
15:16:19	126/126	---M--	200	added ('OK')	text/plain	etag:%227e-5f1718c20256e%22	https://twrolecgeditor.gamelet.online/robots.txt		(from )
15:16:19	3584/3584	---MC-	200	added ('OK')	text/html	date:Sat,%2022%20Nov%202025%2007:16:17%20GMT	https://twrolecgeditor.gamelet.online/play/twrolecgeditor	D:/code/copywebsite/twrolecgeditor/twrolecgeditor.gamelet.online/play/twrolecgeditor.html	(from https://twrolecgeditor.gamelet.online/play)
15:16:19	14004/14004	---M-Z	200	added ('OK')	text/css	etag:%2236b4-630efa8faa9c4-gzip%22	https://code.gamelet.com/gassets/engine/2vr46d/static/css/preload.css	D:/code/copywebsite/twrolecgeditor/code.gamelet.com/gassets/engine/2vr46d/static/css/preload.css	(from https://twrolecgeditor.gamelet.online/play)
15:16:19	21906/21906	---M--	200	added ('OK')	image/png	etag:%225592-630efa92c315c%22	https://code.gamelet.com/gassets/engine/2vr46d/static/img/logo_42.png	D:/code/copywebsite/twrolecgeditor/code.gamelet.com/gassets/engine/2vr46d/static/img/logo_42.png	(from https://twrolecgeditor.gamelet.online/play)
15:16:20	12962/12962	---M-Z	200	added ('OK')	application/javascript	etag:%22603f22e0-32a2%22	https://cdnjs.cloudflare.com/ajax/libs/pace/1.2.4/pace.min.js	D:/code/copywebsite/twrolecgeditor/cdnjs.cloudflare.com/ajax/libs/pace/1.2.4/pace.min.js	(from https://twrolecgeditor.gamelet.online/play)
15:16:20	182553/182553	---M-Z	200	added ('OK')	application/javascript	etag:%222c919-630efa93706c6-gzip%22	https://code.gamelet.com/gassets/engine/2vr46d/static/js/boot.prod.min.js	D:/code/copywebsite/twrolecgeditor/code.gamelet.com/gassets/engine/2vr46d/static/js/boot.prod.min.js	(from https://twrolecgeditor.gamelet.online/play)
15:16:20	898/898	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Nov%202025%2007:16:18%20GMT	https://twrolecgeditor.gamelet.online/img/favicon_v1.ico	D:/code/copywebsite/twrolecgeditor/twrolecgeditor.gamelet.online/img/favicon_v1.ico	(from https://twrolecgeditor.gamelet.online/play/twrolecgeditor)
15:16:20	898/898	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Nov%202025%2007:16:19%20GMT	https://twrolecgeditor.gamelet.online/img/logo_v1_32.png	D:/code/copywebsite/twrolecgeditor/twrolecgeditor.gamelet.online/img/logo_v1_32.png	(from https://twrolecgeditor.gamelet.online/play/twrolecgeditor)
15:16:20	898/898	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Nov%202025%2007:16:19%20GMT	https://twrolecgeditor.gamelet.online/img/logo_v1_50.png	D:/code/copywebsite/twrolecgeditor/twrolecgeditor.gamelet.online/img/logo_v1_50.png	(from https://twrolecgeditor.gamelet.online/play/twrolecgeditor)
15:16:21	898/898	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Nov%202025%2007:16:19%20GMT	https://twrolecgeditor.gamelet.online/img/logo_v1_100.png	D:/code/copywebsite/twrolecgeditor/twrolecgeditor.gamelet.online/img/logo_v1_100.png	(from https://twrolecgeditor.gamelet.online/play/twrolecgeditor)
15:16:21	898/898	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Nov%202025%2007:16:19%20GMT	https://twrolecgeditor.gamelet.online/img/logo_v1_200.png	D:/code/copywebsite/twrolecgeditor/twrolecgeditor.gamelet.online/img/logo_v1_200.png	(from https://twrolecgeditor.gamelet.online/play/twrolecgeditor)
